Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000157571,6.3701e-07,2.74255e-05,9.42623e-05,2.08254e-05,9.94494e-06,4.47561e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
4,1.53362,1.53232,11.0903,0.110861,0.133653,0.134674,22.7786,0.00123044,1.46315,1.46185,0.0668541,0,0.0839274,0.0849481,0.523653,1.9652e-06,, , 0.0136499,2.89839,0.0129519,15.5681,0.150969,0.0668541,0,0.372521,0.0851421,0.0771316,0.00660185,0.236756,0.280351,0.523653,1.9652e-06,22.0831
5,0.0382248,0.0385526,0.0415614,0.000240584,0.00260624,0.00261454,0.0494693,2.69052e-06,0.00237636,0.00270419,0.00599672,0,0.000427577,0.000435869,0.0011574,2.4565e-08,, , 0.00155841,0.0023938,0.00112834,0.190643,0.0120429,0.00599672,0,0.000809368,0.000399508,0.000379883,8.40539e-05,0.00127929,0.0039906,0.0011574,2.4565e-08,0.0479794
Total,21.1748,8.58508,84.3363,0.146391,2.08302,1.78325,38.5332,0.00198104,4.09409,3.18558,66.7501,0,1.0093,0.948621,9.26208,2.54248e-06,, , 0.968628,4.81081,1.50024,48.3374,4.73619,66.7501,0,0.490784,1.15436,0.653971,0.14959,0.346764,2.18162,9.26208,2.54248e-06,29.0937


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.1067,0.0087533,0.410994,4.18477,0.0135081,0.634245
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000457882,1.5628e-06,0.000139491,0.000231257,3.92734e-05,2.87215e-05,1.75763e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,10.7722,0,2.20704,1.35249e-05,0.251243,0,0.0995303,1.47006e-07,0.140445,0,1.37001,0,0.0447401,0,0.0894048,0,, , 0.0839673,0.0111685,0.045309,9.84006,1.63393,1.37001,0,0.000737684,0.0248773,0.0147688,0.00509394,0.00629899,0.198578,0.0894048,0,0.0437299
2,4.83538,4.91873,23.5922,0.00352291,0.7328,0.743872,6.37172,7.35585e-05,1.54484,1.62819,22.055,0,0.25864,0.269712,4.97847,5.52713e-08,, , 0.319223,2.65174,0.20206,8.28705,1.21708,22.055,0,0.0235251,0.318579,0.174449,0.0353242,0.0298702,0.943742,4.97847,5.52713e-08,1.39457
3,1.65461,1.71826,47.1602,0.0140916,0.391657,0.399662,9.24116,0.000292908,0.445095,0.508744,44.0947,0,0.211062,0.219068,3.67668,2.21085e-07,, , 0.250177,0.557622,0.14604,10.3648,0.663331,44.0947,0,0.0931907,0.303078,0.10115,0.0259026,0.0646046,0.398212,3.67668,2.21085e-07,5.52435
