Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000365003,1.41734e-05,3.18999e-05,0.00021622,5.66224e-05,2.60361e-05,2.00508e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.95224,0.00555528,1.02451,11.6937,0.0200608,3.69963
7,2.30099,2.29872,9.57126,0.0432315,0.126983,0.144293,49.3662,0.00116782,2.25255,2.25028,0.00876619,0.000273602,0.0975555,0.114866,0.203439,1.85872e-06,, , 0.010378,4.48649,0.00596437,11.9572,0.311009,0.00876619,0.000273602,0.827824,0.10213,0.102794,0.00749788,0.137035,0.244384,0.203439,1.85872e-06,49.0734
8,0.0965241,0.0962341,0.0309466,5.31275e-05,0.000791195,0.000843726,0.0602466,1.42901e-06,0.0014771,0.00118708,0.00206338,6.88604e-07,0.000131383,0.000183914,0.000227482,5.71652e-09,, , 0.00129996,0.000612419,0.000751796,0.242812,0.142959,0.00206338,6.88604e-07,0.00101147,0.000231029,6.40066e-05,2.02607e-05,0.000343207,0.00136684,0.000227482,5.71652e-09,0.0599602
Total,71.305,51.7399,56.8925,0.0680814,4.38399,5.11889,84.5484,0.00240359,8.63226,6.51715,34.6952,0.000541167,3.16842,3.98776,8.50458,2.9633e-06,, , 4.97401,7.17003,3.00536,78.8078,73.9077,34.6952,0.000541167,1.2825,5.55743,1.15367,0.445073,0.2432,2.71067,8.50458,2.9633e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.95452,0.00555539,1.02453,11.776,0.0200621,3.69989
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


